date;year;month;dayofyear;dayOfMonth;dayOfWeek;week
2017-10-06;2017;10;06;279;5;40
2017-10-07;2017;10;07;280;6;40
2017-10-08;2017;10;08;281;0;41
2017-10-09;2017;10;09;282;1;41
2017-10-10;2017;10;10;283;2;41
2017-10-11;2017;10;11;284;3;41
2017-10-12;2017;10;12;285;4;41
2017-10-13;2017;10;13;286;5;41
2017-10-14;2017;10;14;287;6;41
2017-10-15;2017;10;15;288;0;42
2017-10-16;2017;10;16;289;1;42
2017-10-17;2017;10;17;290;2;42
2017-10-18;2017;10;18;291;3;42
2017-10-19;2017;10;19;292;4;42
2017-10-20;2017;10;20;293;5;42
2017-10-21;2017;10;21;294;6;42
2017-10-22;2017;10;22;295;0;43
2017-10-23;2017;10;23;296;1;43
2017-10-24;2017;10;24;297;2;43
2017-10-25;2017;10;25;298;3;43
2017-10-26;2017;10;26;299;4;43
2017-10-27;2017;10;27;300;5;43
2017-10-28;2017;10;28;301;6;43
2017-10-29;2017;10;29;302;0;44
2017-10-30;2017;10;30;303;1;44
2017-10-31;2017;10;31;304;2;44
2017-11-01;2017;11;01;305;3;44
2017-11-02;2017;11;02;306;4;44
2017-11-03;2017;11;03;307;5;44
2017-11-04;2017;11;04;308;6;44
2017-11-05;2017;11;05;309;0;45
